handle,title,vendor,Tags,description,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Barcode,Variant Price,Variant Compare At Price,Variant Inventory Qty,Cost per item
b-atwood-ботинки-00099,B.Atwood ботинки,B.Atwood,"68b3c81c-7686-11e6-80ed-00155d53a95a,Women,аксессуары,ботинок,Осень-Зима 2010-2011,пряжки,три,украшения,черн.","ботинок черн.шпилька три пряжки",,Size,36,,,,,NIKI140,2000090397019,59224.00,,1,0.0
b-atwood-ботинки-00099,,,,,,,36.5⁢,,,,,NIKI140,2000090398016,59224.00,,1,0.0
b-atwood-ботинки-00099,,,,,,,40⁢⁢,,,,,NIKI140,2000090404014,59224.00,,1,0.0
